Date,Value
2022-12-31,0.096
2021-12-31,0.191
2020-12-31,0.318
2019-12-31,0.391
2018-12-31,0.381
2017-12-31,-0.03
2016-12-31,-0.427
2015-12-31,-0.443
2014-12-31,-1.288
2013-12-31,-1.918
2012-12-31,-2.167
2011-12-31,-3.055
2010-12-31,-3.395
2009-12-31,-4.649
2008-12-31,-0.028
2007-12-31,2.488
2006-12-31,2.943
2005-12-31,2.597
2004-12-31,1.632
2003-12-31,0.327
2002-12-31,0.127
2001-12-31,1.178
2000-12-31,3.544
1999-12-31,2.964
1998-12-31,1.855
1997-12-31,0.939
1996-12-31,-0.224
1995-12-31,-0.832
1994-12-31,-0.694
1993-12-31,-1.961
1992-12-31,-2.137
1991-12-31,-2.851
1990-12-31,-0.022
1989-12-31,1.312
1988-12-31,0.687
1987-12-31,-0.316
1986-12-31,-0.417
1985-12-31,-0.284
1984-12-31,-0.994
1983-12-31,-4.731
1982-12-31,-6.17
1981-12-31,-1.541
1980-12-31,-2.305
